long,lat,fips
964664.929460475,-680394.592142752,17081
831304.602145337,-608696.656587255,17083
802084.753372819,-244906.89231083,17085
979916.992688259,-772653.425734497,17087
953511.770096929,-273009.103857694,17089
1012480.20295344,-354547.258671503,17091
958781.689064749,-311357.448646915,17093
820269.837501848,-403528.269727587,17095
982149.195621836,-225588.275277697,17097
924730.931536462,-343862.465130643,17099
1061416.09030921,-619499.048526034,17101
884960.170721758,-304007.042112159,17103
958596.051238047,-390014.953913375,17105
901839.087333741,-483745.585686828,17107
787275.943840547,-460562.238063812,17109
945682.53042326,-230653.649534333,17111
940394.168610059,-437709.853537256,17113
939502.819065564,-508542.703382323,17115
865921.109653004,-585251.845254567,17117
873125.536656808,-632619.80962962,17119
960246.593382789,-641721.730295083,17121
891160.965279933,-383289.649792707,17123
853840.320192473,-477076.083861333,17125
998234.352394796,-796947.719132353,17127
866370.085147744,-499275.003545169,17129
772819.137225568,-378263.440980955,17131
856448.720642937,-696744.191094195,17133
904411.082249682,-583705.708327964,17135
836483.770256673,-537746.603588572,17137
971610.512725166,-528739.224600791,17139
878994.718496198,-271562.145431647,17141
859871.445982197,-414894.427097026,17143
929056.958320379,-709141.641559625,17145
968542.722552007,-487397.321524398,17147
779373.61863677,-554823.973301466,17149
1008567.01987398,-773874.787532394,17151
961225.462707296,-801267.521867804,17153
893638.219192992,-364046.682615678,17155
889847.917946594,-717912.549596671,17157
1031011.18089769,-624808.971449239,17159
783907.519197615,-347841.526977647,17161
875421.860373465,-672739.493098653,17163
1005536.00188675,-736178.126576797,17165
882045.571362814,-527494.774815491,17167
796495.180888098,-493051.004366456,17169
813975.054352069,-548649.172386903,17171
959488.744648953,-558548.853686623,17173
852764.708206022,-381430.031337912,17175
846908.722651756,-240949.083859779,17177
884246.953802059,-443206.712177155,17179
947044.836511784,-775657.265386629,17181
1038193.86746244,-458148.764466776,17183
1055315.84269663,-651595.632910598,17185
787808.981895366,-416554.821348721,17187
921931.02135162,-680013.345155983,17189
1005837.92176261,-660184.550883337,17191
1032373.0639812,-694919.780961479,17193
834237.334090675,-309451.625281756,17195
998030.371226648,-321948.560875117,17197
971986.823009881,-743309.673577356,17199
887940.467584919,-237278.005200024,17201
905853.927673722,-409109.685774851,17203
1261092.24309662,-357243.779309805,18001
1243554.64052647,-321204.043359146,18003
1209562.13393393,-540703.240911581,18005
1066750.61000635,-406173.291569116,18007
1234166.67154093,-393000.214884472,18009
1146470.4320032,-456039.082043174,18011
1181527.35698186,-546769.432859546,18013
1129487.58124263,-399000.270917701,18015
1144065.5535973,-376170.578021214,18017
1238768.49552913,-617876.0201676,18019
1102822.90445512,-537064.408445138,18021
1141731.25459731,-428327.286578673,18023
1178617.72910402,-649759.75590506,18025
1117986.32774731,-612879.720000905,18027
1288761.00711125,-533497.215864295,18029
1241156.04419018,-523898.012819342,18031
1243240.67511675,-286523.445223544,18033
1232778.239936,-421125.485282095,18035
1139988.82947094,-647248.05707286,18037
